practice_intervention_id,attribute_id
1,6
1,10
1,11
1,1
2,3
2,8
2,10
2,14
2,16
2,13
2,15
2,2
3,6
3,8
3,2
4,5
4,8
4,11
4,1
5,4
5,8
5,9
5,11
5,12
5,14
5,16
5,13
5,15
5,1
6,6
6,11
6,1
7,6
7,8
7,10
7,2
8,6
8,8
8,11
8,2
9,5
9,9
9,11
9,2
10,6
10,8
10,2
11,6
11,8
11,9
11,11
11,1
12,6
12,8
12,2
13,6
13,8
13,11
13,1
14,5
14,7
14,11
14,2
15,5
15,2
16,5
16,8
16,2
17,5
17,10
17,11
17,1
18,5
18,7
18,8
18,9
18,10
18,11
18,2
19,5
19,8
19,11
19,1
20,5
20,8
20,11
20,1
21,6
21,8
21,11
21,1
22,5
22,9
22,10
22,11
22,12
22,2
23,4
23,8
23,2
24,4
24,8
24,9
24,11
24,1
25,3
25,8
25,9
25,10
25,12
25,14
25,16
25,13
25,15
25,2
26,5
26,8
26,2
27,5
27,8
27,10
27,11
27,1
