id,practice_intervention_id,indicator_id,score
1,1,1,5.0
2,1,2,3.0
3,1,3,5.0
4,1,4,5.0
5,2,1,1.0
6,2,2,1.0
7,2,3,5.0
8,2,4,5.0
9,3,1,1.0
10,3,2,1.0
11,3,3,5.0
12,3,4,5.0
13,4,1,5.0
14,4,2,3.0
15,4,3,5.0
16,4,4,5.0
17,5,1,2.0
18,5,2,2.0
19,5,3,5.0
20,5,4,5.0
21,6,1,3.0
22,6,2,3.0
23,6,3,5.0
24,6,4,5.0
25,7,1,1.0
26,7,2,1.0
27,7,3,5.0
28,7,4,5.0
29,8,1,3.0
30,8,2,3.0
31,8,3,4.0
32,8,4,5.0
33,9,1,5.0
34,9,2,5.0
35,9,3,5.0
36,9,4,5.0
37,10,1,3.0
38,10,2,3.0
39,10,3,5.0
40,10,4,5.0
41,11,1,2.0
42,11,2,3.0
43,11,3,3.0
44,11,4,3.0
45,12,1,5.0
46,12,2,3.0
47,12,3,3.0
48,12,4,5.0
49,13,1,5.0
50,13,2,3.0
51,13,3,5.0
52,13,4,5.0
53,14,1,2.0
54,14,2,3.0
55,14,3,5.0
56,14,4,5.0
57,15,1,3.0
58,15,2,3.0
59,15,3,5.0
60,15,4,5.0
61,16,1,3.0
62,16,2,2.0
63,16,3,5.0
64,16,4,5.0
65,17,1,3.0
66,17,2,3.0
67,17,3,5.0
68,17,4,5.0
69,18,1,3.0
70,18,2,1.0
71,18,3,5.0
72,18,4,5.0
73,19,1,5.0
74,19,2,3.0
75,19,3,5.0
76,19,4,5.0
77,20,1,5.0
78,20,2,5.0
79,20,3,5.0
80,20,4,5.0
81,21,1,5.0
82,21,2,2.0
83,21,3,5.0
84,21,4,5.0
85,22,1,5.0
86,22,2,4.0
87,22,3,5.0
88,22,4,5.0
89,23,1,1.0
90,23,2,1.0
91,23,3,5.0
92,23,4,5.0
93,24,1,1.0
94,24,2,1.0
95,24,3,5.0
96,24,4,5.0
97,25,1,2.0
98,25,2,2.0
99,25,3,5.0
100,25,4,5.0
101,26,1,3.0
102,26,2,3.0
103,26,3,4.0
104,26,4,4.0
105,27,1,5.0
106,27,2,5.0
107,27,3,5.0
108,27,4,5.0
